time,server,avg_bitrate_mode_live,avg_bitrate_mode_vod
2025-01-12 20:01:00,ceihta1-16,4160890.0,1733093.0
2025-01-12 20:01:00,ceihta1-17,4008331.0,1370704.0
2025-01-12 20:01:00,ceihta1-18,4131085.0,1854393.0
2025-01-12 20:01:00,ceihta1-19,4065592.0,2624762.0
2025-01-12 20:01:00,ceihta1-20,3972295.0,2028082.0
2025-01-12 20:01:00,ceimno1-01,4063293.0,3245649.0
2025-01-12 20:01:00,ceimno1-02,4194995.0,3235563.0
2025-01-12 20:01:00,ceimno1-03,4029492.0,3709403.0
2025-01-12 20:01:00,ceimno1-04,4188027.0,2939908.0
2025-01-12 20:01:00,ceimno1-05,4098874.0,2459883.0
2025-01-12 20:01:00,ceimno1-06,3905081.0,2532651.0
2025-01-12 20:01:00,ceimno1-07,3895228.0,3247263.0
2025-01-12 20:01:00,ceimno1-08,4214042.0,3121794.0
2025-01-12 20:01:00,ceimno1-09,4108150.0,3139580.0
2025-01-12 20:01:00,ceimno1-10,4127611.0,3073549.0
2025-01-12 20:01:00,ceimno1-11,4064579.0,2459089.0
2025-01-12 20:01:00,ceimno1-12,3928694.0,3155665.0
2025-01-12 20:01:00,ceimno1-13,2666667.0,2000000.0
2025-01-12 20:01:00,ceimno1-14,4109792.0,3155274.0
2025-01-12 20:01:00,ceimno1-15,4101848.0,3270301.0
2025-01-12 20:01:00,ceimno1-16,4101154.0,3283648.0
2025-01-12 20:01:00,ceimno1-17,4092665.0,3356805.0
2025-01-12 20:01:00,ceimno1-18,4277714.0,1973715.0
2025-01-12 20:01:00,ceimno1-19,3942062.0,3225648.0
2025-01-12 20:01:00,ceimpe1-01,4347727.0,2597663.0
2025-01-12 20:01:00,ceimpe1-02,4278197.0,2360656.0
2025-01-12 20:01:00,ceimpe1-03,4151495.0,2491671.0
2025-01-12 20:01:00,ceimpe1-04,3602190.0,2759418.0
2025-01-12 20:01:00,ceimpe1-05,3995606.0,2867444.0
2025-01-12 20:01:00,ceimpe1-06,3697771.0,2927255.0
2025-01-12 20:01:00,ceimpe1-07,4152342.0,3086218.0
2025-01-12 20:01:00,ceimpe1-08,3837156.0,2844186.0
2025-01-12 20:01:00,ceimpe1-09,3953151.0,2930054.0
2025-01-12 20:01:00,ceimpe1-10,3532344.0,3036739.0
2025-01-12 20:01:00,ceimpe1-11,4157992.0,2722825.0
2025-01-12 20:01:00,ceimpe1-12,3620686.0,4130370.0
2025-01-12 20:01:00,ceimpe1-13,4078067.0,3185613.0
2025-01-12 20:01:00,ceimpe1-14,3689817.0,2824209.0
2025-01-12 20:01:00,ceimpe1-15,4306777.0,3156570.0
2025-01-12 20:01:00,ceimpe1-16,3371859.0,2662153.0
2025-01-12 20:01:00,ceimsm1-01,4042477.0,3545337.0
2025-01-12 20:01:00,ceimsm1-02,4207575.0,3693507.0
2025-01-12 20:01:00,ceimsm1-03,4094993.0,3678288.0
2025-01-12 20:01:00,ceimsm1-04,4046572.0,3685589.0
2025-01-12 20:01:00,ceimsm1-05,4135699.0,4001083.0
2025-01-12 20:01:00,ceimsm1-06,4132664.0,3713000.0
2025-01-12 20:01:00,ceimsm1-07,4140732.0,3405094.0
2025-01-12 20:01:00,ceimsm1-08,4207804.0,3782862.0
2025-01-12 20:01:00,ceimsm1-09,4366905.0,3797248.0
2025-01-12 20:01:00,ceimsm1-10,4308440.0,3524278.0
2025-01-12 20:01:00,ceimsm1-11,4293364.0,3578913.0
2025-01-12 20:01:00,ceimsm1-12,4160537.0,3766049.0
2025-01-12 20:01:00,ceimsm1-13,4299010.0,3666685.0
2025-01-12 20:01:00,ceimsm1-14,4279878.0,3416613.0
2025-01-12 20:01:00,ceimsm1-15,4353290.0,4057829.0
2025-01-12 20:01:00,ceimsm1-16,4171669.0,3556559.0
2025-01-12 20:01:00,ceimsm1-17,4203036.0,4378257.0
2025-01-12 20:01:00,ceimsm1-18,3873912.0,4168936.0
2025-01-12 20:01:00,codmno1-05,,8156250.0
2025-01-12 20:01:30,cecbep1-01,3844340.0,3177387.0
2025-01-12 20:01:30,cecbep1-02,3984814.0,3050815.0
2025-01-12 20:01:30,cecbep1-03,3818565.0,3120874.0
2025-01-12 20:01:30,cecbep1-04,3920274.0,3024627.0
2025-01-12 20:01:30,cecbep1-05,3866050.0,3151274.0
2025-01-12 20:01:30,cecbep1-06,3836375.0,3201171.0
2025-01-12 20:01:30,cecbep1-07,3745224.0,3029443.0
2025-01-12 20:01:30,cecbep1-08,4020359.0,2690848.0
2025-01-12 20:01:30,cecmaz1-01,3611952.0,2663957.0
2025-01-12 20:01:30,cecmaz1-02,3721074.0,1834386.0
2025-01-12 20:01:30,cecmaz1-03,3661767.0,2755002.0
2025-01-12 20:01:30,cecmaz1-04,4122700.0,1332739.0
2025-01-12 20:01:30,cecmaz1-05,3723979.0,1968124.0
2025-01-12 20:01:30,cecmaz1-06,3784723.0,1599041.0
2025-01-12 20:01:30,cecmaz1-07,3805890.0,2731337.0
2025-01-12 20:01:30,cecmaz1-08,3626265.0,1899931.0
2025-01-12 20:01:30,cecmsm1-01,3902253.0,2455181.0
2025-01-12 20:01:30,cecmsm1-02,4062533.0,2574003.0
2025-01-12 20:01:30,cecmsm1-03,3811394.0,2286182.0
2025-01-12 20:01:30,cecmsm1-04,3908147.0,2031134.0
2025-01-12 20:01:30,cecmsm1-05,3942070.0,2458207.0
2025-01-12 20:01:30,cecmsm1-06,4161115.0,1737805.0
2025-01-12 20:01:30,cecmsm1-07,4006106.0,1783155.0
2025-01-12 20:01:30,cecmsm1-08,3887661.0,1948517.0
2025-01-12 20:01:30,cefsbin3-01,4426287.0,2712216.0
2025-01-12 20:01:30,cefsbin3-02,4341820.0,2945156.0
2025-01-12 20:01:30,cefsbin3-03,4581800.0,2884782.0
2025-01-12 20:01:30,cefsbin3-04,4393217.0,1871702.0
2025-01-12 20:01:30,cefsbin3-05,4274706.0,2835235.0
2025-01-12 20:01:30,cefsbin3-06,4234065.0,2937069.0
2025-01-12 20:01:30,ceihta1-01,4027157.0,2398227.0
2025-01-12 20:01:30,ceihta1-02,4142366.0,2179113.0
2025-01-12 20:01:30,ceihta1-03,4099255.0,2195046.0
2025-01-12 20:01:30,ceihta1-04,4131887.0,2833479.0
2025-01-12 20:01:30,ceihta1-05,3595425.0,1491981.0
2025-01-12 20:01:30,ceihta1-06,4551843.0,2926613.0
2025-01-12 20:01:30,ceihta1-07,4295518.0,2793377.0
2025-01-12 20:01:30,ceihta1-08,3934141.0,2006036.0
2025-01-12 20:01:30,ceihta1-09,3769890.0,1648388.0
2025-01-12 20:01:30,ceihta1-10,4049120.0,2641862.0
2025-01-12 20:01:30,ceihta1-11,4371957.0,2574555.0
2025-01-12 20:01:30,ceihta1-12,4247085.0,1667729.0
2025-01-12 20:01:30,ceihta1-13,3934549.0,2499865.0
2025-01-12 20:01:30,ceihta1-14,4075700.0,1834055.0
2025-01-12 20:01:30,ceihta1-15,4078212.0,2288403.0
2025-01-12 20:01:30,ceihta1-16,4102034.0,1554684.0
2025-01-12 20:01:30,ceihta1-17,4204823.0,1356418.0
2025-01-12 20:01:30,ceihta1-18,4058867.0,1922766.0
2025-01-12 20:01:30,ceihta1-19,4213651.0,2629573.0
2025-01-12 20:01:30,ceihta1-20,4047324.0,2204228.0
2025-01-12 20:01:30,ceimno1-01,4068393.0,3069980.0
2025-01-12 20:01:30,ceimno1-02,4232188.0,3171083.0
2025-01-12 20:01:30,ceimno1-03,4052146.0,3763453.0
2025-01-12 20:01:30,ceimno1-04,4268660.0,2978947.0
2025-01-12 20:01:30,ceimno1-05,4124040.0,2510936.0
2025-01-12 20:01:30,ceimno1-06,3929442.0,2830734.0
2025-01-12 20:01:30,ceimno1-07,3952731.0,3223564.0
2025-01-12 20:01:30,ceimno1-08,4192593.0,3166255.0
2025-01-12 20:01:30,ceimno1-09,4127645.0,3072607.0
2025-01-12 20:01:30,ceimno1-10,4094386.0,3365940.0
2025-01-12 20:01:30,ceimno1-11,4076948.0,2434051.0
2025-01-12 20:01:30,ceimno1-12,3934905.0,2966481.0
2025-01-12 20:01:30,ceimno1-13,2666667.0,3294117.0
2025-01-12 20:01:30,ceimno1-14,4152083.0,3061041.0
2025-01-12 20:01:30,ceimno1-15,4127731.0,3215726.0
2025-01-12 20:01:30,ceimno1-16,4117536.0,3205760.0
2025-01-12 20:01:30,ceimno1-17,4126021.0,3324488.0
