time,server,req_live_dash,req_live_hls,req_live_smooth,req_vod_dash,req_vod_hls,req_vod_http,req_vod_iplus,req_vod_smooth,req_vod_unknown,req_live_unknown
2025-01-12 20:00:30,ceimpe1-16,71521.0,12090.0,7602.0,1055.0,64.0,,,388.0,82.0,
2025-01-12 20:00:30,ceimsm1-01,21815.0,1556.0,3544.0,895.0,45.0,,,1159.0,12644.0,
2025-01-12 20:00:30,ceimsm1-02,28868.0,7526.0,9487.0,1370.0,24.0,,,1102.0,13890.0,
2025-01-12 20:00:30,ceimsm1-03,26969.0,2108.0,2157.0,1229.0,47.0,,,1208.0,11006.0,
2025-01-12 20:00:30,ceimsm1-04,33722.0,2068.0,5895.0,1212.0,48.0,,,1244.0,11032.0,
2025-01-12 20:00:30,ceimsm1-05,26376.0,2761.0,1830.0,625.0,23.0,,,968.0,9563.0,
2025-01-12 20:00:30,ceimsm1-06,17524.0,1613.0,1768.0,496.0,15.0,,,835.0,9358.0,
2025-01-12 20:00:30,ceimsm1-07,12535.0,1083.0,1204.0,374.0,21.0,,,261.0,1289.0,
2025-01-12 20:00:30,ceimsm1-08,7741.0,3661.0,12584.0,820.0,47.0,,,348.0,395.0,
2025-01-12 20:00:30,ceimsm1-09,10737.0,3752.0,346.0,387.0,37.0,,,270.0,85.0,
2025-01-12 20:00:30,ceimsm1-10,9861.0,713.0,9586.0,502.0,52.0,,,959.0,33.0,
2025-01-12 20:00:30,ceimsm1-11,9870.0,223.0,8428.0,474.0,6.0,,,207.0,21.0,
2025-01-12 20:00:30,ceimsm1-12,11140.0,2587.0,1460.0,608.0,106.0,,,430.0,2999.0,
2025-01-12 20:00:30,ceimsm1-13,11241.0,450.0,736.0,2138.0,97.0,,,222.0,3392.0,
2025-01-12 20:00:30,ceimsm1-14,10630.0,400.0,4727.0,491.0,37.0,,,111.0,121.0,
2025-01-12 20:00:30,ceimsm1-15,12983.0,454.0,390.0,573.0,42.0,,,318.0,101.0,
2025-01-12 20:00:30,ceimsm1-16,8785.0,679.0,16188.0,758.0,9.0,,,205.0,1261.0,
2025-01-12 20:00:30,ceimsm1-17,16790.0,1064.0,1663.0,314.0,20.0,,,166.0,642.0,
2025-01-12 20:00:30,ceimsm1-18,15481.0,1437.0,1111.0,421.0,29.0,,,192.0,130.0,
2025-01-12 20:00:30,codmno1-05,,,,349.0,,,,,,
2025-01-12 20:01:00,cecbep1-01,5374.0,1480.0,497.0,2442.0,566.0,,,254.0,1967.0,
2025-01-12 20:01:00,cecbep1-02,5813.0,1494.0,963.0,2786.0,2575.0,,,290.0,1933.0,
2025-01-12 20:01:00,cecbep1-03,10092.0,1540.0,485.0,2614.0,864.0,,,306.0,3333.0,
2025-01-12 20:01:00,cecbep1-04,8907.0,2215.0,2587.0,4206.0,1583.0,,,447.0,5282.0,
2025-01-12 20:01:00,cecbep1-05,6572.0,1475.0,799.0,3585.0,2372.0,,,464.0,7433.0,
2025-01-12 20:01:00,cecbep1-06,7051.0,2379.0,635.0,2994.0,1086.0,,,372.0,3296.0,
2025-01-12 20:01:00,cecbep1-07,5864.0,3242.0,3627.0,3101.0,904.0,,,256.0,2905.0,
2025-01-12 20:01:00,cecbep1-08,7867.0,3115.0,669.0,11261.0,1603.0,,,420.0,2436.0,
2025-01-12 20:01:00,cecblbg1-01,4667.0,207.0,1401.0,5590.0,1176.0,,,448.0,4015.0,
2025-01-12 20:01:00,cecblbg1-02,4138.0,349.0,997.0,4125.0,2327.0,,,588.0,1762.0,
2025-01-12 20:01:00,cecblbg1-03,3912.0,218.0,3619.0,3462.0,1175.0,,1.0,370.0,1382.0,
2025-01-12 20:01:00,cecblbg1-04,3662.0,266.0,2402.0,4116.0,2180.0,,,479.0,1067.0,
2025-01-12 20:01:00,cecblbg1-05,2224.0,413.0,421.0,3127.0,978.0,,,244.0,1025.0,
2025-01-12 20:01:00,cecblbg1-06,4571.0,1030.0,640.0,5043.0,984.0,,,448.0,1244.0,
2025-01-12 20:01:00,cecblbg1-07,3077.0,301.0,530.0,5332.0,1050.0,,,383.0,1364.0,
2025-01-12 20:01:00,cecblbg1-08,3596.0,682.0,604.0,9396.0,1065.0,,,469.0,1363.0,
2025-01-12 20:01:00,cecpmmo1-01,2498.0,222.0,401.0,1365.0,155.0,,,242.0,1356.0,
2025-01-12 20:01:00,cecpmmo1-02,6403.0,339.0,1213.0,1627.0,174.0,,,259.0,3314.0,
2025-01-12 20:01:00,cecpmmo1-03,2389.0,267.0,137.0,1254.0,44.0,,,146.0,1017.0,
2025-01-12 20:01:00,cecpmmo1-04,4088.0,509.0,3480.0,1648.0,80.0,,,119.0,1456.0,
2025-01-12 20:01:00,cecpmmo1-05,1782.0,177.0,184.0,1405.0,45.0,,,177.0,1699.0,
2025-01-12 20:01:00,cecpmmo1-06,3252.0,393.0,344.0,1837.0,140.0,,,262.0,1804.0,
2025-01-12 20:01:00,cecpmmo1-07,2135.0,175.0,1791.0,1002.0,28.0,,,153.0,926.0,
2025-01-12 20:01:00,cecpmmo1-08,3454.0,165.0,458.0,2104.0,180.0,,,259.0,1072.0,
2025-01-12 20:01:00,cecssb1-01,3880.0,561.0,3162.0,2832.0,792.0,,,500.0,1922.0,
2025-01-12 20:01:00,cecssb1-02,3014.0,327.0,227.0,2745.0,619.0,,,449.0,1376.0,
2025-01-12 20:01:00,cecssb1-03,4592.0,1534.0,1182.0,4161.0,712.0,,,377.0,5938.0,
