time,server,avgtotal
2025-01-12 20:08:00,cecbep1-02,3473234.0
2025-01-12 20:08:30,cecbep1-02,3469021.0
2025-01-12 20:09:00,cecbep1-02,3439138.0
2025-01-12 20:09:30,cecbep1-02,3494638.0
2025-01-12 20:10:00,cecbep1-02,3445584.0
2025-01-12 20:10:30,cecbep1-02,3449809.0
2025-01-12 20:11:00,cecbep1-02,3477467.0
2025-01-12 20:11:30,cecbep1-02,3368203.0
2025-01-12 20:12:00,cecbep1-02,3454564.0
2025-01-12 20:12:30,cecbep1-02,3437779.0
2025-01-12 20:13:00,cecbep1-02,3443750.0
2025-01-12 20:13:30,cecbep1-02,3474410.0
2025-01-12 20:14:00,cecbep1-02,3440544.0
2025-01-12 20:14:30,cecbep1-02,3485888.0
2025-01-12 20:15:00,cecbep1-02,3524701.0
2025-01-12 20:15:30,cecbep1-02,3477690.0
2025-01-12 20:16:00,cecbep1-02,3543662.0
2025-01-12 20:16:30,cecbep1-02,3519018.0
2025-01-12 20:17:00,cecbep1-02,3528421.0
2025-01-12 20:17:30,cecbep1-02,3488309.0
2025-01-12 20:18:00,cecbep1-02,3497248.0
2025-01-12 20:18:30,cecbep1-02,3484527.0
2025-01-12 20:19:00,cecbep1-02,3544569.0
2025-01-12 20:19:30,cecbep1-02,3516202.0
2025-01-12 20:20:00,cecbep1-02,3481123.0
2025-01-12 20:20:30,cecbep1-02,3542021.0
2025-01-12 20:21:00,cecbep1-02,3504692.0
2025-01-12 20:21:30,cecbep1-02,3512830.0
2025-01-12 20:22:00,cecbep1-02,3515535.0
2025-01-12 20:22:30,cecbep1-02,3521253.0
2025-01-12 20:23:00,cecbep1-02,3505737.0
2025-01-12 20:23:30,cecbep1-02,3400047.0
2025-01-12 20:24:00,cecbep1-02,3447354.0
2025-01-12 20:24:30,cecbep1-02,3382933.0
2025-01-12 20:25:00,cecbep1-02,3474234.0
2025-01-12 20:25:30,cecbep1-02,3531347.0
2025-01-12 20:26:00,cecbep1-02,3442323.0
2025-01-12 20:26:30,cecbep1-02,3445204.0
2025-01-12 20:27:00,cecbep1-02,3439736.0
2025-01-12 20:27:30,cecbep1-02,3563911.0
2025-01-12 20:28:00,cecbep1-02,3437913.0
2025-01-12 20:28:30,cecbep1-02,3478557.0
2025-01-12 20:29:00,cecbep1-02,3525804.0
2025-01-12 20:29:30,cecbep1-02,3492802.0
2025-01-12 20:30:00,cecbep1-02,3016359.0
2025-01-12 20:30:30,cecbep1-02,3050471.0
2025-01-12 20:31:00,cecbep1-02,3094398.0
2025-01-12 20:31:30,cecbep1-02,3107791.0
2025-01-12 20:32:00,cecbep1-02,3062896.0
2025-01-12 20:32:30,cecbep1-02,3089745.0
2025-01-12 20:33:00,cecbep1-02,3118309.0
2025-01-12 20:33:30,cecbep1-02,3045593.0
2025-01-12 20:34:00,cecbep1-02,3093446.0
2025-01-12 20:34:30,cecbep1-02,3029028.0
2025-01-12 20:35:00,cecbep1-02,2978819.0
2025-01-12 20:35:30,cecbep1-02,3009484.0
2025-01-12 20:36:00,cecbep1-02,2993657.0
2025-01-12 20:36:30,cecbep1-02,2961663.0
2025-01-12 20:37:00,cecbep1-02,3024979.0
2025-01-12 20:37:30,cecbep1-02,3050644.0
2025-01-12 20:38:00,cecbep1-02,3077214.0
2025-01-12 20:38:30,cecbep1-02,3035868.0
2025-01-12 20:39:00,cecbep1-02,3051364.0
2025-01-12 20:39:30,cecbep1-02,3067456.0
2025-01-12 20:40:00,cecbep1-02,3088759.0
2025-01-12 20:40:30,cecbep1-02,3017570.0
