time,server,avg_bitrate_protocol_dash_live,avg_bitrate_protocol_dash_vod,avg_bitrate_protocol_hls_live,avg_bitrate_protocol_hls_vod,avg_bitrate_protocol_http_vod,avg_bitrate_protocol_iplus_vod,avg_bitrate_protocol_smooth_live,avg_bitrate_protocol_smooth_vod,avg_bitrate_protocol_unknown_live,avg_bitrate_protocol_unknown_vod
2025-01-12 20:00:00,ceimpe1-05,4719889.0,4733574.0,2379381.0,2444263.0,,,5426388.0,4918740.0,,0.0
2025-01-12 20:00:00,ceimpe1-06,4417644.0,5520141.0,1571494.0,2784897.0,,,5080727.0,4844506.0,,0.0
2025-01-12 20:00:00,ceimpe1-07,4718088.0,4764611.0,2174919.0,2913463.0,,,5627037.0,5184542.0,,0.0
2025-01-12 20:00:00,ceimpe1-08,4367002.0,5203340.0,2180664.0,2209375.0,,,5400895.0,5072189.0,,0.0
2025-01-12 20:00:00,ceimpe1-09,4466844.0,4796900.0,1876761.0,1760968.0,,,5687498.0,5166092.0,,0.0
2025-01-12 20:00:00,ceimpe1-10,4372007.0,4742654.0,2312541.0,2543055.0,,,4905229.0,5376061.0,,0.0
2025-01-12 20:00:00,ceimpe1-11,4667649.0,3310154.0,1959160.0,2050883.0,,,5800229.0,5108962.0,,0.0
2025-01-12 20:00:00,ceimpe1-12,4204143.0,4033333.0,2115970.0,4002128.0,,,5368498.0,4985063.0,,0.0
2025-01-12 20:00:00,ceimpe1-13,4430644.0,5088568.0,2016637.0,2627777.0,,,5800172.0,5160689.0,,0.0
2025-01-12 20:00:00,ceimpe1-14,4092415.0,4004830.0,2000898.0,2297326.0,,,5418112.0,5166355.0,,0.0
2025-01-12 20:00:00,ceimpe1-15,4661393.0,4259527.0,2641190.0,2739081.0,,,5801229.0,5193673.0,,0.0
2025-01-12 20:00:00,ceimpe1-16,3030250.0,3547846.0,1388416.0,2097370.0,,,4599766.0,4816373.0,,0.0
2025-01-12 20:00:00,ceimsm1-01,4440584.0,7297033.0,1943266.0,2018055.0,,,5776382.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-02,4477831.0,7798543.0,2307296.0,2210526.0,,,5828040.0,4631761.0,,0.0
2025-01-12 20:00:00,ceimsm1-03,4482955.0,7319699.0,2134764.0,2762711.0,,,5509444.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-04,4225011.0,7635697.0,2112583.0,2409523.0,,,5829303.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-05,4651568.0,7922955.0,2036903.0,2306122.0,,,5694732.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-06,4487757.0,7648101.0,2124613.0,2000000.0,,,5836406.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-07,4557374.0,6777363.0,2109705.0,2000000.0,,,5961198.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-08,4682334.0,7875732.0,2125337.0,2833333.0,,,5770003.0,4825070.0,,0.0
2025-01-12 20:00:00,ceimsm1-09,4707957.0,6781407.0,2356995.0,3250000.0,,,5988888.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-10,4474074.0,6852822.0,2599364.0,2214285.0,,,5880954.0,4961538.0,,0.0
2025-01-12 20:00:00,ceimsm1-11,4656528.0,6619672.0,2335481.0,5000000.0,,,5857885.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-12,4366669.0,7085565.0,2056169.0,3142857.0,,,5619254.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-13,4676479.0,7004244.0,2016699.0,3022727.0,,,5705159.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-14,4644613.0,6859223.0,2121640.0,2000000.0,,,5934762.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-15,4613583.0,8265993.0,2525527.0,3025316.0,,,5629629.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-16,4599763.0,6591842.0,2048660.0,2576923.0,,,5779374.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-17,4508121.0,7564071.0,2191203.0,3363636.0,,,5951871.0,5000000.0,,0.0
2025-01-12 20:00:00,ceimsm1-18,4588027.0,7350574.0,2016965.0,2348837.0,,,5285229.0,4709392.0,,0.0
2025-01-12 20:00:00,codmno1-05,,8139664.0,,,,,,,,
2025-01-12 20:00:30,cecbep1-01,4024323.0,7313186.0,1909395.0,733664.0,,,5527270.0,4887248.0,,0.0
2025-01-12 20:00:30,cecbep1-02,3945616.0,7444880.0,1883844.0,597607.0,,,5778269.0,4471153.0,,0.0
2025-01-12 20:00:30,cecbep1-03,3865912.0,6841878.0,1880266.0,371933.0,,,5641173.0,5107881.0,,0.0
2025-01-12 20:00:30,cecbep1-04,3908524.0,7019753.0,1878603.0,680376.0,,,5768036.0,5120881.0,,0.0
2025-01-12 20:00:30,cecbep1-05,3905414.0,7168609.0,1831692.0,603075.0,,,5768988.0,5061420.0,,0.0
2025-01-12 20:00:30,cecbep1-06,3796893.0,7030439.0,1931384.0,373965.0,,,5674348.0,4801076.0,,0.0
2025-01-12 20:00:30,cecbep1-07,3759247.0,7608833.0,1903823.0,848387.0,,,5557581.0,5066666.0,,0.0
2025-01-12 20:00:30,cecbep1-08,3869519.0,5181467.0,2110639.0,448074.0,,,5852202.0,5446862.0,,0.0
